experiment,condition,subject,block,phase,acc
1,new_learn,22,0,Learn,0.76
1,new_learn,22,1,Learn,0.76
1,new_learn,22,2,Learn,1.0
1,new_learn,22,3,Learn,0.76
1,new_learn,22,4,Learn,0.84
1,new_learn,22,5,Learn,0.96
1,new_learn,22,6,Learn,0.92
1,new_learn,22,7,Learn,0.8
1,new_learn,22,8,Learn,0.8
1,new_learn,22,9,Learn,0.92
1,new_learn,22,10,Learn,0.84
1,new_learn,22,11,Learn,0.96
1,new_learn,22,12,Intervention,0.36
1,new_learn,22,13,Intervention,0.32
1,new_learn,22,14,Intervention,0.32
1,new_learn,22,15,Intervention,0.12
1,new_learn,22,16,Intervention,0.16
1,new_learn,22,17,Intervention,0.36
1,new_learn,22,18,Intervention,0.24
1,new_learn,22,19,Intervention,0.4
1,new_learn,22,20,Intervention,0.36
1,new_learn,22,21,Intervention,0.24
1,new_learn,22,22,Intervention,0.28
1,new_learn,22,23,Intervention,0.16
1,new_learn,22,24,Test,0.52
1,new_learn,22,25,Test,0.68
1,new_learn,22,26,Test,0.68
1,new_learn,22,27,Test,0.88
1,new_learn,22,28,Test,0.8
1,new_learn,22,29,Test,0.6
1,new_learn,22,30,Test,0.68
1,new_learn,22,31,Test,0.8
1,new_learn,22,32,Test,0.96
1,new_learn,22,33,Test,0.72
1,new_learn,22,34,Test,0.88
1,new_learn,22,35,Test,1.0
1,new_learn,23,0,Learn,0.52
1,new_learn,23,1,Learn,0.68
1,new_learn,23,2,Learn,0.88
1,new_learn,23,3,Learn,0.8
1,new_learn,23,4,Learn,0.72
1,new_learn,23,5,Learn,0.68
1,new_learn,23,6,Learn,0.84
1,new_learn,23,7,Learn,0.8
1,new_learn,23,8,Learn,0.76
1,new_learn,23,9,Learn,0.76
1,new_learn,23,10,Learn,0.84
1,new_learn,23,11,Learn,0.76
1,new_learn,23,12,Intervention,0.88
1,new_learn,23,13,Intervention,0.76
1,new_learn,23,14,Intervention,0.52
1,new_learn,23,15,Intervention,0.48
1,new_learn,23,16,Intervention,0.6
1,new_learn,23,17,Intervention,0.56
1,new_learn,23,18,Intervention,0.48
1,new_learn,23,19,Intervention,0.28
1,new_learn,23,20,Intervention,0.52
1,new_learn,23,21,Intervention,0.6
1,new_learn,23,22,Intervention,0.68
1,new_learn,23,23,Intervention,0.72
1,new_learn,23,24,Test,0.44
1,new_learn,23,25,Test,0.64
1,new_learn,23,26,Test,0.52
1,new_learn,23,27,Test,0.44
1,new_learn,23,28,Test,0.52
1,new_learn,23,29,Test,0.48
1,new_learn,23,30,Test,0.4
1,new_learn,23,31,Test,0.48
1,new_learn,23,32,Test,0.4
1,new_learn,23,33,Test,0.52
1,new_learn,23,34,Test,0.68
1,new_learn,23,35,Test,0.4166666666666667
1,new_learn,24,0,Learn,0.92
1,new_learn,24,1,Learn,0.96
1,new_learn,24,2,Learn,0.88
1,new_learn,24,3,Learn,0.96
1,new_learn,24,4,Learn,0.76
1,new_learn,24,5,Learn,0.84
1,new_learn,24,6,Learn,0.88
1,new_learn,24,7,Learn,0.96
1,new_learn,24,8,Learn,0.92
1,new_learn,24,9,Learn,0.96
1,new_learn,24,10,Learn,0.88
1,new_learn,24,11,Learn,0.92
1,new_learn,24,12,Intervention,0.8
1,new_learn,24,13,Intervention,0.52
1,new_learn,24,14,Intervention,0.64
1,new_learn,24,15,Intervention,0.48
1,new_learn,24,16,Intervention,0.36
1,new_learn,24,17,Intervention,0.6
1,new_learn,24,18,Intervention,0.56
1,new_learn,24,19,Intervention,0.72
1,new_learn,24,20,Intervention,0.6
1,new_learn,24,21,Intervention,0.56
1,new_learn,24,22,Intervention,0.44
1,new_learn,24,23,Intervention,0.44
1,new_learn,24,24,Test,0.6
1,new_learn,24,25,Test,0.44
1,new_learn,24,26,Test,0.64
1,new_learn,24,27,Test,0.36
1,new_learn,24,28,Test,0.52
1,new_learn,24,29,Test,0.64
1,new_learn,24,30,Test,0.52
1,new_learn,24,31,Test,0.52
1,new_learn,24,32,Test,0.68
1,new_learn,24,33,Test,0.64
1,new_learn,24,34,Test,0.36
1,new_learn,24,35,Test,0.625
1,new_learn,25,0,Learn,0.76
1,new_learn,25,1,Learn,0.6
1,new_learn,25,2,Learn,0.48
1,new_learn,25,3,Learn,0.6
1,new_learn,25,4,Learn,0.72
1,new_learn,25,5,Learn,0.64
1,new_learn,25,6,Learn,0.68
1,new_learn,25,7,Learn,0.72
